Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,NY,2018,12,Male,18,Right-Handed,178,25,180,2,Rail (Train/Tram/Subway),60,0.368,49,Athletics,786,695,679,289,781,925,26,Same length,100,110,Ring finger,March,Summer,Yes,No,Poultry,Water,English,6,9,5,Yes - broadband connection,Internet chat or instant messaging,10,10,20,2,9,12,7,1,30,20,35,1,15,7,Very little,Graduate degree,Punk rock,Super strength,Happy,Relative,"Wildlife, animals"
USA,TX,2018,12,Female,18,Right-Handed,152.4,17.78,124,2,Bus,10,0.451,62,Swimming,NA,NA,NA,NA,NA,NA,17.78,Same length,6.8,6.8,Same length,September,Winter,No,Yes,Salads,Juice,Computers and technology,8,12,6,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",25,40,8,12,15,2,2,8,8,8,8,2,0,18,None,High school,Pop,Telepathy,NA,Friend,Education/Youth development
USA,NY,2018,12,Female,18,Right-Handed,161,21,20,2,Rail (Train/Tram/Subway),35,0.472,37,None,1000,1000,976,850,750,910,20,Right foot,95,85,Ring finger,June,Fall,No,No,Rice/Noodle dishes,Water,Other,5,10,5,Yes - other,Text messaging,300,350,30,2,1,0,0,0,6,7,40,4,8,1,Some,Graduate degree,Rap/Hip hop,Freeze time,Rich,Business person,Environment
USA,OK,2018,12,Male,17,Right-Handed,190,28,180,1,Car,8,0.656,45,Baseball/Softball,0,3,3,4,7,7,28,Same length,100,99,Index finger,September,Summer,Yes,No,Meat,Water,History,6,9,5,Yes - broadband connection,Cell phone,43,42,15,1,4,10,10,0,1,2,4,7,15,1,Very little,Graduate degree,Rock and roll,Freeze time,Happy,Relative,Religious
USA,TX,2018,12,Female,17,Right-Handed,162.6,22.5,149,1,Car,10,0.717,33,Other,NA,NA,NA,NA,NA,NA,22.5,Same length,58,64,Ring finger,July,Fall,No,No,Fruit,Sports drink,Science,7,11,3,Yes - broadband connection,Text messaging,150,200,5,1,2,1,0,0,15,15,0,4,21,2,Very little,Graduate degree,Rock and roll,Telepathy,Rich,Relative,"Wildlife, animals"
USA,KS,2018,12,Male,17,Right-Handed,190.5,26.5,185,1.5,Car,5,0.3,29,Soccer,300,400,400,100,1000,1000,26.5,Same length,85,90,Ring finger,September,Winter,No,No,Meat,Sports drink,Geography,8,9,4,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",200,300,10,1,2,3,12,5,8,3,1,3,0,10,Very little,Graduate degree,Rap/Hip hop,Telepathy,Rich,Sports person,"Arts, culture, sports"
USA,PA,2018,12,Female,17,Right-Handed,170,25,174,1,Car,7,0.4,45,Dancing,900,400,700,700,1000,1000,25,Left foot,80,75,Index finger,November,Fall,No,No,Fruit,Water,Mathematics and statistics,6,9,4,Yes - broadband connection,Text messaging,40,100,10,1,10,7,22,0,6,3,20,10,2,2,Some,Graduate degree,Rap/Hip hop,Telepathy,Happy,Relative,Health
USA,MA,2018,12,Female,17,Right-Handed,163,23,155,1,Bus,10,0.43,35,None,700,500,500,900,100,1000,20,Same length,65,60,Index finger,July,Summer,No,NA,Pizza/Pasta,Water,English,4,8,4,Yes - broadband connection,Text messaging,100,120,6,56,6,5,0,0,80,80,80,2,19,2,Some,Undergraduate degree,Rap/Hip hop,Invisibility,Happy,Relative,Health
USA,IL,2018,12,Male,16,Right-Handed,177,27,175,1,Bicycle,10,0.383,39,Soccer,300,500,500,700,1000,800,26,Right foot,71,77,Ring finger,August,Spring,Yes,No,Meat,Water,Mathematics and statistics,7,7,5,Yes - broadband connection,Internet chat or instant messaging,4,8,5,1,10,3,2,5,1,2,10,0,16,4,A lot,Graduate degree,Rock and roll,Invisibility,Rich,Relative,Health
USA,CA,2018,12,Female,16,Right-Handed,159,24.9,162,3,Car,4,0.329,46,Soccer,909,524,920,791,70,294,24.9,Same length,80,65,Index finger,November,Fall,No,No,Poultry,Water,Social studies,6,8,5,Yes - broadband connection,Text messaging,25,80,10,2,20,10,3,0,7,3,5,8,0,2,A lot,Graduate degree,Rap/Hip hop,Fly,Happy,Relative,International aid
